O3_low, O3_high, PM2.5_low, PM2.5_high, PM10_low, PM10_high, CO_low, CO_high, SO2_low, SO2_high, NO2_low, NO2_high, AQI_NUM_low, AQI_NUM_high, AQI_CAT

0, 63, 0, 12, 0, 54, 0, 4.4, 0, 35, 0, 53, 0, 50, good
64, 124, 12.1, 35.4, 55, 154, 4.5, 9.4, 36, 75, 54, 100, 51, 100, moderate
125, 164, 35.5, 55.4, 155, 254, 9.5, 12.4, 76, 185, 101, 360, 101, 150, unhealthy for sensitive groups
165, 204, 55.5, 150.4, 255, 354, 12.5, 15.4, 186, 304, 361, 649, 151, 200, unhealthy
205, 404, 150.5, 250.4, 355, 424, 15.5, 30.4, 305, 604, 650, 1249, 201, 300, very unhealthy
405, 504, 250.5, 350.4, 425, 504, 30.5, 40.4, 605, 804, 1250, 1649, 301, 400, hazardous
505, 604, 350.5, 500.4, 505, 604, 40.5, 50.4, 805, 1004, 1650, 2049, 401, 500, hazardous
